,Coach,Appearance
0,Sir Alex Ferguson,190
1,Carlo Ancelotti,179
2,Arsène Wenger,178
3,Josep Guardiola,147
4,José Mourinho,145
5,Mircea Lucescu,115
6,Louis van Gaal,95
7,Ottmar Hitzfeld,95
8,Rafael Benítez,95
9,Massimiliano Allegri,94
10,Jürgen Klopp,92
11,Diego Simeone,87
12,Fabio Capello,78
13,Marcello Lippi,76
14,Ronald Koeman,68
15,Manuel Pellegrini,66
16,Roberto Mancini,61
17,Vicente del Bosque,60
18,Javier Iruretagoyena Amiano,58
19,Luciano Spalletti,57
20,Oleg Romantsev,56
21,Fatih Terim,53
22,Zinédine Zidane,53
23,Héctor Cúper,52
24,Thomas Tuchel,52
25,Unai Emery,52
26,Jorge Jesus,49
27,Nils Arne Eggen,49
28,Claude Puel,48
29,Claudio Ranieri,47
30,Jupp Heynckes,47
31,Guus Hiddink,46
32,Laurent Blanc,46
33,Didier Deschamps,45
34,Mauricio Pochettino,45
35,Yuri Semin,45
36,Ernesto Valverde,42
37,Felix Magath,40
38,Thomas Schaaf,40
